Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Arab World,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,2467200000,2350300000,2116300000,2677500000,4270100000,4637100000,5851200000,6173253000,7678128000,8409930000,9309540000,11214818000,11756927000,22026356000,62611995000,57348841000,81600513000,88319925000,83611664000,1.33123E+11,2.04582E+11,2.16257E+11,1.648E+11,1.27997E+11,1.20505E+11,1.06814E+11,78707858547,91490155062,90801874204,1.10217E+11,1.40609E+11,1.24926E+11,1.27674E+11,1.18573E+11,1.22157E+11,1.4281E+11,1.68277E+11,1.79702E+11,1.33845E+11,1.68285E+11,3.1169E+11,2.87543E+11,2.89902E+11,3.62412E+11,4.59967E+11,5.98454E+11,7.01093E+11,8.08678E+11,1.15378E+12,6.61019E+11,9.38889E+11,1.18223E+12,1.38114E+12,1.30804E+12,1.21212E+12,7.5692E+11,6.58653E+11,7.49685E+11,9.59992E+11,9.13752E+11,6.94413E+11,,,
Arab World,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,6.383754864,6.492788155,5.641922223,5.990662932,5.152104166,5.106639926,4.053869292,4.078044428,3.652465809,3.549637155,3.445025211,3.29334814,3.151707925,2.786198498,1.593135628,2.035221601,1.310931709,1.540564035,1.632678905,1.650382263,1.585826924,2.802267831,2.542714081,2.523782295,2.652280093,2.712091563,3.629036126,3.356117514,3.686478351,4.283514729,4.763561342,4.981170681,4.904632637,4.721041626,4.37557207,4.159811999,3.588304775,3.531457002,4.406863641,3.608912446,3.932451,4.756878911,5.286002935,5.242369215,5.676793791,4.592420292,4.607104227,5.848317186,6.834841139,8.589401374,7.541528225,4.549417702,4.458939681,4.538960599,4.575155995,4.989217764,5.059470392,5.408766263,4.22629495,4.534188766,4.990723865,,,
Arab World,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,9.468223087,7.518189167,9.795397628,8.522875817,9.82880963,9.221280542,9.155386929,8.247904306,8.821368959,7.232331304,8.71502781,9.1115344,9.620490116,9.348700257,9.850550202,10.50260981,8.775197283,8.241552515,8.254548074,8.28238321,9.140485043,12.51815099,15.38452256,16.60757609,15.91904577,15.24073378,12.6977407,13.92843592,14.51604689,14.01454211,14.27882321,13.78291452,15.40607095,15.74998065,15.58405082,14.97713423,18.15941593,18.82289972,19.44476939,19.80383804,27.76074801,27.15374094,27.31236137,28.71206939,29.59970788,30.14097608,30.10782564,29.08693259,29.72251042,30.24709208,31.60148781,34.20075679,33.76474613,34.41484572,35.38161946,35.83507649,35.6798924,37.17204765,37.24134685,38.97297116,40.42545839,,,
Arab World,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,2.313207752,2.96679859,,,,,,,,,,,,34.61394992,28.72912001,22.95967362,,,,,,2.437767905,2.19687521,2.445161508,1.814850004,1.698334445,1.389342461,2.052210562,1.38974678,1.376293138,1.681295061,1.393938042,1.560999361,1.711788907,2.254247815,2.119737444,2.539770813,3.557887322,3.713786241,3.938645771,4.1245419,3.276736549,3.577615233,4.396133364,,3.7792528
Arab World,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,88.50853609,86.33428235,,,,,,,,,,,,51.20914292,53.89772373,52.40047001,,,,,,82.96376549,84.76617845,84.47063704,71.1731585,67.37814844,71.66226496,71.98294817,75.89667649,76.30310323,75.72343219,65.65200074,69.71568793,70.9039611,66.4269019,70.93082636,68.464968,60.64661735,58.62915257,58.42368297,69.77849545,73.47062486,65.60907261,67.9462265,,46.73716943
